Dates,Day,Month,Year
17/01/1922,17,1,1922
18/01/1922,18,1,1922
19/01/1922,19,1,1922
20/01/1922,20,1,1922
21/01/1922,21,1,1922
22/01/1922,22,1,1922
23/01/1922,23,1,1922
24/01/1922,24,1,1922
25/01/1922,25,1,1922
26/01/1922,26,1,1922
27/01/1922,27,1,1922
28/01/1922,28,1,1922
29/01/1922,29,1,1922
30/01/1922,30,1,1922
31/01/1922,31,1,1922
01/02/1922,1,2,1922
02/02/1922,2,2,1922
03/02/1922,3,2,1922
04/02/1922,4,2,1922
05/02/1922,5,2,1922
06/02/1922,6,2,1922
07/02/1922,7,2,1922
08/02/1922,8,2,1922
09/02/1922,9,2,1922
10/02/1922,10,2,1922
11/02/1922,11,2,1922
12/02/1922,12,2,1922
13/02/1922,13,2,1922
14/02/1922,14,2,1922
15/02/1922,15,2,1922
16/02/1922,16,2,1922
17/02/1922,17,2,1922
18/02/1922,18,2,1922
19/02/1922,19,2,1922
20/02/1922,20,2,1922
21/02/1922,21,2,1922
22/02/1922,22,2,1922
23/02/1922,23,2,1922
24/02/1922,24,2,1922
25/02/1922,25,2,1922
26/02/1922,26,2,1922
27/02/1922,27,2,1922
28/02/1922,28,2,1922
01/03/1922,1,3,1922
02/03/1922,2,3,1922
03/03/1922,3,3,1922
04/03/1922,4,3,1922
05/03/1922,5,3,1922
06/03/1922,6,3,1922
07/03/1922,7,3,1922
08/03/1922,8,3,1922
09/03/1922,9,3,1922
10/03/1922,10,3,1922
11/03/1922,11,3,1922
12/03/1922,12,3,1922
13/03/1922,13,3,1922
14/03/1922,14,3,1922
15/03/1922,15,3,1922
16/03/1922,16,3,1922
17/03/1922,17,3,1922
18/03/1922,18,3,1922
19/03/1922,19,3,1922
20/03/1922,20,3,1922
21/03/1922,21,3,1922
22/03/1922,22,3,1922
23/03/1922,23,3,1922
24/03/1922,24,3,1922
25/03/1922,25,3,1922
26/03/1922,26,3,1922
27/03/1922,27,3,1922
28/03/1922,28,3,1922
29/03/1922,29,3,1922
30/03/1922,30,3,1922
31/03/1922,31,3,1922
01/04/1922,1,4,1922
02/04/1922,2,4,1922
03/04/1922,3,4,1922
04/04/1922,4,4,1922
05/04/1922,5,4,1922
06/04/1922,6,4,1922
07/04/1922,7,4,1922
08/04/1922,8,4,1922
09/04/1922,9,4,1922
10/04/1922,10,4,1922
11/04/1922,11,4,1922
12/04/1922,12,4,1922
13/04/1922,13,4,1922
14/04/1922,14,4,1922
15/04/1922,15,4,1922
16/04/1922,16,4,1922
17/04/1922,17,4,1922
18/04/1922,18,4,1922
19/04/1922,19,4,1922
20/04/1922,20,4,1922
21/04/1922,21,4,1922
22/04/1922,22,4,1922
23/04/1922,23,4,1922
24/04/1922,24,4,1922
25/04/1922,25,4,1922
26/04/1922,26,4,1922
27/04/1922,27,4,1922
28/04/1922,28,4,1922
29/04/1922,29,4,1922
30/04/1922,30,4,1922
01/05/1922,1,5,1922
02/05/1922,2,5,1922
03/05/1922,3,5,1922
04/05/1922,4,5,1922
05/05/1922,5,5,1922
06/05/1922,6,5,1922
07/05/1922,7,5,1922
08/05/1922,8,5,1922
09/05/1922,9,5,1922
10/05/1922,10,5,1922
11/05/1922,11,5,1922
12/05/1922,12,5,1922
13/05/1922,13,5,1922
14/05/1922,14,5,1922
15/05/1922,15,5,1922
16/05/1922,16,5,1922
17/05/1922,17,5,1922
18/05/1922,18,5,1922
19/05/1922,19,5,1922
20/05/1922,20,5,1922
21/05/1922,21,5,1922
22/05/1922,22,5,1922
23/05/1922,23,5,1922
24/05/1922,24,5,1922
25/05/1922,25,5,1922
26/05/1922,26,5,1922
27/05/1922,27,5,1922
28/05/1922,28,5,1922
29/05/1922,29,5,1922
30/05/1922,30,5,1922
31/05/1922,31,5,1922
01/06/1922,1,6,1922
02/06/1922,2,6,1922
03/06/1922,3,6,1922
04/06/1922,4,6,1922
05/06/1922,5,6,1922
06/06/1922,6,6,1922
07/06/1922,7,6,1922
08/06/1922,8,6,1922
09/06/1922,9,6,1922
10/06/1922,10,6,1922
11/06/1922,11,6,1922
12/06/1922,12,6,1922
13/06/1922,13,6,1922
14/06/1922,14,6,1922
15/06/1922,15,6,1922
16/06/1922,16,6,1922
17/06/1922,17,6,1922
18/06/1922,18,6,1922
19/06/1922,19,6,1922
20/06/1922,20,6,1922
21/06/1922,21,6,1922
22/06/1922,22,6,1922
23/06/1922,23,6,1922
24/06/1922,24,6,1922
25/06/1922,25,6,1922
26/06/1922,26,6,1922
27/06/1922,27,6,1922
28/06/1922,28,6,1922
29/06/1922,29,6,1922
30/06/1922,30,6,1922
01/07/1922,1,7,1922
02/07/1922,2,7,1922
03/07/1922,3,7,1922
04/07/1922,4,7,1922
05/07/1922,5,7,1922
06/07/1922,6,7,1922
07/07/1922,7,7,1922
08/07/1922,8,7,1922
09/07/1922,9,7,1922
10/07/1922,10,7,1922
11/07/1922,11,7,1922
12/07/1922,12,7,1922
13/07/1922,13,7,1922
14/07/1922,14,7,1922
15/07/1922,15,7,1922
16/07/1922,16,7,1922
17/07/1922,17,7,1922
18/07/1922,18,7,1922
19/07/1922,19,7,1922
20/07/1922,20,7,1922
21/07/1922,21,7,1922
22/07/1922,22,7,1922
23/07/1922,23,7,1922
24/07/1922,24,7,1922
25/07/1922,25,7,1922
26/07/1922,26,7,1922
27/07/1922,27,7,1922
28/07/1922,28,7,1922
29/07/1922,29,7,1922
30/07/1922,30,7,1922
31/07/1922,31,7,1922
01/08/1922,1,8,1922
02/08/1922,2,8,1922
03/08/1922,3,8,1922
04/08/1922,4,8,1922
05/08/1922,5,8,1922
06/08/1922,6,8,1922
07/08/1922,7,8,1922
08/08/1922,8,8,1922
09/08/1922,9,8,1922
10/08/1922,10,8,1922
11/08/1922,11,8,1922
12/08/1922,12,8,1922
13/08/1922,13,8,1922
14/08/1922,14,8,1922
15/08/1922,15,8,1922
16/08/1922,16,8,1922
17/08/1922,17,8,1922
18/08/1922,18,8,1922
19/08/1922,19,8,1922
20/08/1922,20,8,1922
21/08/1922,21,8,1922
22/08/1922,22,8,1922
23/08/1922,23,8,1922
24/08/1922,24,8,1922
25/08/1922,25,8,1922
26/08/1922,26,8,1922
27/08/1922,27,8,1922
28/08/1922,28,8,1922
29/08/1922,29,8,1922
30/08/1922,30,8,1922
31/08/1922,31,8,1922
01/09/1922,1,9,1922
02/09/1922,2,9,1922
03/09/1922,3,9,1922
04/09/1922,4,9,1922
05/09/1922,5,9,1922
06/09/1922,6,9,1922
07/09/1922,7,9,1922
08/09/1922,8,9,1922
09/09/1922,9,9,1922
10/09/1922,10,9,1922
11/09/1922,11,9,1922
12/09/1922,12,9,1922
13/09/1922,13,9,1922
14/09/1922,14,9,1922
15/09/1922,15,9,1922
16/09/1922,16,9,1922
17/09/1922,17,9,1922
18/09/1922,18,9,1922
19/09/1922,19,9,1922
20/09/1922,20,9,1922
21/09/1922,21,9,1922
22/09/1922,22,9,1922
23/09/1922,23,9,1922
24/09/1922,24,9,1922
25/09/1922,25,9,1922
26/09/1922,26,9,1922
27/09/1922,27,9,1922
28/09/1922,28,9,1922
29/09/1922,29,9,1922
30/09/1922,30,9,1922
01/10/1922,1,10,1922
02/10/1922,2,10,1922
03/10/1922,3,10,1922
04/10/1922,4,10,1922
05/10/1922,5,10,1922
06/10/1922,6,10,1922
07/10/1922,7,10,1922
08/10/1922,8,10,1922
09/10/1922,9,10,1922
10/10/1922,10,10,1922
11/10/1922,11,10,1922
12/10/1922,12,10,1922
13/10/1922,13,10,1922
14/10/1922,14,10,1922
15/10/1922,15,10,1922
16/10/1922,16,10,1922
17/10/1922,17,10,1922
18/10/1922,18,10,1922
19/10/1922,19,10,1922
20/10/1922,20,10,1922
21/10/1922,21,10,1922
22/10/1922,22,10,1922
23/10/1922,23,10,1922
24/10/1922,24,10,1922
25/10/1922,25,10,1922
26/10/1922,26,10,1922
27/10/1922,27,10,1922
28/10/1922,28,10,1922
29/10/1922,29,10,1922
30/10/1922,30,10,1922
31/10/1922,31,10,1922
01/11/1922,1,11,1922
02/11/1922,2,11,1922
03/11/1922,3,11,1922
04/11/1922,4,11,1922
05/11/1922,5,11,1922
06/11/1922,6,11,1922
07/11/1922,7,11,1922
08/11/1922,8,11,1922
09/11/1922,9,11,1922
10/11/1922,10,11,1922
11/11/1922,11,11,1922
12/11/1922,12,11,1922
13/11/1922,13,11,1922
14/11/1922,14,11,1922
15/11/1922,15,11,1922
16/11/1922,16,11,1922
17/11/1922,17,11,1922
18/11/1922,18,11,1922
19/11/1922,19,11,1922
20/11/1922,20,11,1922
21/11/1922,21,11,1922
22/11/1922,22,11,1922
23/11/1922,23,11,1922
24/11/1922,24,11,1922
25/11/1922,25,11,1922
26/11/1922,26,11,1922
27/11/1922,27,11,1922
28/11/1922,28,11,1922
29/11/1922,29,11,1922
30/11/1922,30,11,1922
01/12/1922,1,12,1922
02/12/1922,2,12,1922
03/12/1922,3,12,1922
04/12/1922,4,12,1922
05/12/1922,5,12,1922
06/12/1922,6,12,1922
07/12/1922,7,12,1922
08/12/1922,8,12,1922
09/12/1922,9,12,1922
10/12/1922,10,12,1922
11/12/1922,11,12,1922
12/12/1922,12,12,1922
13/12/1922,13,12,1922
14/12/1922,14,12,1922
15/12/1922,15,12,1922
16/12/1922,16,12,1922
17/12/1922,17,12,1922
18/12/1922,18,12,1922
19/12/1922,19,12,1922
20/12/1922,20,12,1922
21/12/1922,21,12,1922
22/12/1922,22,12,1922
23/12/1922,23,12,1922
24/12/1922,24,12,1922
25/12/1922,25,12,1922
26/12/1922,26,12,1922
27/12/1922,27,12,1922
28/12/1922,28,12,1922
29/12/1922,29,12,1922
30/12/1922,30,12,1922
31/12/1922,31,12,1922
01/01/1923,1,1,1923
02/01/1923,2,1,1923
03/01/1923,3,1,1923
04/01/1923,4,1,1923
05/01/1923,5,1,1923
06/01/1923,6,1,1923
07/01/1923,7,1,1923
08/01/1923,8,1,1923
09/01/1923,9,1,1923
10/01/1923,10,1,1923
11/01/1923,11,1,1923
12/01/1923,12,1,1923
13/01/1923,13,1,1923
14/01/1923,14,1,1923
15/01/1923,15,1,1923
16/01/1923,16,1,1923
17/01/1923,17,1,1923
18/01/1923,18,1,1923
19/01/1923,19,1,1923
20/01/1923,20,1,1923
21/01/1923,21,1,1923
22/01/1923,22,1,1923
23/01/1923,23,1,1923
24/01/1923,24,1,1923
25/01/1923,25,1,1923
26/01/1923,26,1,1923
27/01/1923,27,1,1923
28/01/1923,28,1,1923
29/01/1923,29,1,1923
30/01/1923,30,1,1923
31/01/1923,31,1,1923
01/02/1923,1,2,1923
02/02/1923,2,2,1923
03/02/1923,3,2,1923
04/02/1923,4,2,1923
05/02/1923,5,2,1923
06/02/1923,6,2,1923
07/02/1923,7,2,1923
08/02/1923,8,2,1923
09/02/1923,9,2,1923
10/02/1923,10,2,1923
11/02/1923,11,2,1923
12/02/1923,12,2,1923
13/02/1923,13,2,1923
14/02/1923,14,2,1923
15/02/1923,15,2,1923
16/02/1923,16,2,1923
17/02/1923,17,2,1923
18/02/1923,18,2,1923
19/02/1923,19,2,1923
20/02/1923,20,2,1923
21/02/1923,21,2,1923
22/02/1923,22,2,1923
23/02/1923,23,2,1923
24/02/1923,24,2,1923
25/02/1923,25,2,1923
26/02/1923,26,2,1923
27/02/1923,27,2,1923
28/02/1923,28,2,1923
01/03/1923,1,3,1923
02/03/1923,2,3,1923
03/03/1923,3,3,1923
04/03/1923,4,3,1923
05/03/1923,5,3,1923
06/03/1923,6,3,1923
07/03/1923,7,3,1923
08/03/1923,8,3,1923
09/03/1923,9,3,1923
10/03/1923,10,3,1923
11/03/1923,11,3,1923
12/03/1923,12,3,1923
13/03/1923,13,3,1923
14/03/1923,14,3,1923
15/03/1923,15,3,1923
16/03/1923,16,3,1923
17/03/1923,17,3,1923
18/03/1923,18,3,1923
19/03/1923,19,3,1923
20/03/1923,20,3,1923
21/03/1923,21,3,1923
22/03/1923,22,3,1923
23/03/1923,23,3,1923
24/03/1923,24,3,1923
25/03/1923,25,3,1923
26/03/1923,26,3,1923
27/03/1923,27,3,1923
28/03/1923,28,3,1923
29/03/1923,29,3,1923
30/03/1923,30,3,1923
31/03/1923,31,3,1923
01/04/1923,1,4,1923
02/04/1923,2,4,1923
03/04/1923,3,4,1923
04/04/1923,4,4,1923
05/04/1923,5,4,1923
06/04/1923,6,4,1923
07/04/1923,7,4,1923
08/04/1923,8,4,1923
09/04/1923,9,4,1923
10/04/1923,10,4,1923
11/04/1923,11,4,1923
12/04/1923,12,4,1923
13/04/1923,13,4,1923
14/04/1923,14,4,1923
15/04/1923,15,4,1923
16/04/1923,16,4,1923
17/04/1923,17,4,1923
18/04/1923,18,4,1923
19/04/1923,19,4,1923
20/04/1923,20,4,1923
21/04/1923,21,4,1923
22/04/1923,22,4,1923
23/04/1923,23,4,1923
24/04/1923,24,4,1923
25/04/1923,25,4,1923
26/04/1923,26,4,1923
27/04/1923,27,4,1923
28/04/1923,28,4,1923
29/04/1923,29,4,1923
30/04/1923,30,4,1923
01/05/1923,1,5,1923
02/05/1923,2,5,1923
03/05/1923,3,5,1923
04/05/1923,4,5,1923
05/05/1923,5,5,1923
06/05/1923,6,5,1923
07/05/1923,7,5,1923
08/05/1923,8,5,1923
09/05/1923,9,5,1923
10/05/1923,10,5,1923
11/05/1923,11,5,1923
12/05/1923,12,5,1923
13/05/1923,13,5,1923
14/05/1923,14,5,1923
15/05/1923,15,5,1923
16/05/1923,16,5,1923
17/05/1923,17,5,1923
18/05/1923,18,5,1923
19/05/1923,19,5,1923
20/05/1923,20,5,1923
21/05/1923,21,5,1923
22/05/1923,22,5,1923
23/05/1923,23,5,1923
24/05/1923,24,5,1923
25/05/1923,25,5,1923
26/05/1923,26,5,1923
27/05/1923,27,5,1923
28/05/1923,28,5,1923
29/05/1923,29,5,1923
30/05/1923,30,5,1923
31/05/1923,31,5,1923
01/06/1923,1,6,1923
02/06/1923,2,6,1923
03/06/1923,3,6,1923
04/06/1923,4,6,1923
05/06/1923,5,6,1923
06/06/1923,6,6,1923
07/06/1923,7,6,1923
08/06/1923,8,6,1923
09/06/1923,9,6,1923
10/06/1923,10,6,1923
11/06/1923,11,6,1923
12/06/1923,12,6,1923
13/06/1923,13,6,1923
14/06/1923,14,6,1923
15/06/1923,15,6,1923
16/06/1923,16,6,1923
17/06/1923,17,6,1923
18/06/1923,18,6,1923
19/06/1923,19,6,1923
20/06/1923,20,6,1923
21/06/1923,21,6,1923
22/06/1923,22,6,1923
23/06/1923,23,6,1923
24/06/1923,24,6,1923
25/06/1923,25,6,1923
26/06/1923,26,6,1923
27/06/1923,27,6,1923
28/06/1923,28,6,1923
29/06/1923,29,6,1923
30/06/1923,30,6,1923
01/07/1923,1,7,1923
02/07/1923,2,7,1923
03/07/1923,3,7,1923
04/07/1923,4,7,1923
05/07/1923,5,7,1923
06/07/1923,6,7,1923
07/07/1923,7,7,1923
08/07/1923,8,7,1923
09/07/1923,9,7,1923
10/07/1923,10,7,1923
11/07/1923,11,7,1923
12/07/1923,12,7,1923
13/07/1923,13,7,1923
14/07/1923,14,7,1923
15/07/1923,15,7,1923
16/07/1923,16,7,1923
17/07/1923,17,7,1923
18/07/1923,18,7,1923
19/07/1923,19,7,1923
20/07/1923,20,7,1923
21/07/1923,21,7,1923
22/07/1923,22,7,1923
23/07/1923,23,7,1923
24/07/1923,24,7,1923
25/07/1923,25,7,1923
26/07/1923,26,7,1923
27/07/1923,27,7,1923
28/07/1923,28,7,1923
29/07/1923,29,7,1923
30/07/1923,30,7,1923
31/07/1923,31,7,1923
01/08/1923,1,8,1923
02/08/1923,2,8,1923
03/08/1923,3,8,1923
04/08/1923,4,8,1923
05/08/1923,5,8,1923
06/08/1923,6,8,1923
07/08/1923,7,8,1923
08/08/1923,8,8,1923
09/08/1923,9,8,1923
10/08/1923,10,8,1923
11/08/1923,11,8,1923
12/08/1923,12,8,1923
13/08/1923,13,8,1923
14/08/1923,14,8,1923
15/08/1923,15,8,1923
16/08/1923,16,8,1923
17/08/1923,17,8,1923
18/08/1923,18,8,1923
19/08/1923,19,8,1923
20/08/1923,20,8,1923
21/08/1923,21,8,1923
22/08/1923,22,8,1923
23/08/1923,23,8,1923
24/08/1923,24,8,1923
25/08/1923,25,8,1923
26/08/1923,26,8,1923
27/08/1923,27,8,1923
28/08/1923,28,8,1923
29/08/1923,29,8,1923
30/08/1923,30,8,1923
31/08/1923,31,8,1923
01/09/1923,1,9,1923
02/09/1923,2,9,1923
03/09/1923,3,9,1923
04/09/1923,4,9,1923
05/09/1923,5,9,1923
06/09/1923,6,9,1923
07/09/1923,7,9,1923
08/09/1923,8,9,1923
09/09/1923,9,9,1923
10/09/1923,10,9,1923
11/09/1923,11,9,1923
12/09/1923,12,9,1923
13/09/1923,13,9,1923
14/09/1923,14,9,1923
15/09/1923,15,9,1923
16/09/1923,16,9,1923
17/09/1923,17,9,1923
18/09/1923,18,9,1923
19/09/1923,19,9,1923
20/09/1923,20,9,1923
21/09/1923,21,9,1923
22/09/1923,22,9,1923
23/09/1923,23,9,1923
24/09/1923,24,9,1923
25/09/1923,25,9,1923
26/09/1923,26,9,1923
27/09/1923,27,9,1923
28/09/1923,28,9,1923
29/09/1923,29,9,1923
30/09/1923,30,9,1923
01/10/1923,1,10,1923
02/10/1923,2,10,1923
03/10/1923,3,10,1923
04/10/1923,4,10,1923
05/10/1923,5,10,1923
06/10/1923,6,10,1923
07/10/1923,7,10,1923
08/10/1923,8,10,1923
09/10/1923,9,10,1923
10/10/1923,10,10,1923
11/10/1923,11,10,1923
12/10/1923,12,10,1923
13/10/1923,13,10,1923
14/10/1923,14,10,1923
15/10/1923,15,10,1923
16/10/1923,16,10,1923
17/10/1923,17,10,1923
18/10/1923,18,10,1923
19/10/1923,19,10,1923
20/10/1923,20,10,1923
21/10/1923,21,10,1923
22/10/1923,22,10,1923
23/10/1923,23,10,1923
24/10/1923,24,10,1923
25/10/1923,25,10,1923
26/10/1923,26,10,1923
27/10/1923,27,10,1923
28/10/1923,28,10,1923
29/10/1923,29,10,1923
30/10/1923,30,10,1923
31/10/1923,31,10,1923
01/11/1923,1,11,1923
02/11/1923,2,11,1923
03/11/1923,3,11,1923
04/11/1923,4,11,1923
05/11/1923,5,11,1923
06/11/1923,6,11,1923
07/11/1923,7,11,1923
08/11/1923,8,11,1923
09/11/1923,9,11,1923
10/11/1923,10,11,1923
11/11/1923,11,11,1923
12/11/1923,12,11,1923
13/11/1923,13,11,1923
14/11/1923,14,11,1923
15/11/1923,15,11,1923
16/11/1923,16,11,1923
17/11/1923,17,11,1923
18/11/1923,18,11,1923
19/11/1923,19,11,1923
20/11/1923,20,11,1923
21/11/1923,21,11,1923
22/11/1923,22,11,1923
23/11/1923,23,11,1923
24/11/1923,24,11,1923
25/11/1923,25,11,1923
26/11/1923,26,11,1923
27/11/1923,27,11,1923
28/11/1923,28,11,1923
29/11/1923,29,11,1923
30/11/1923,30,11,1923
01/12/1923,1,12,1923
02/12/1923,2,12,1923
03/12/1923,3,12,1923
04/12/1923,4,12,1923
05/12/1923,5,12,1923
06/12/1923,6,12,1923
07/12/1923,7,12,1923
08/12/1923,8,12,1923
09/12/1923,9,12,1923
10/12/1923,10,12,1923
11/12/1923,11,12,1923
12/12/1923,12,12,1923
13/12/1923,13,12,1923
14/12/1923,14,12,1923
15/12/1923,15,12,1923
16/12/1923,16,12,1923
17/12/1923,17,12,1923
18/12/1923,18,12,1923
19/12/1923,19,12,1923
20/12/1923,20,12,1923
21/12/1923,21,12,1923
22/12/1923,22,12,1923
23/12/1923,23,12,1923
24/12/1923,24,12,1923
25/12/1923,25,12,1923
26/12/1923,26,12,1923
27/12/1923,27,12,1923
28/12/1923,28,12,1923
29/12/1923,29,12,1923
30/12/1923,30,12,1923
31/12/1923,31,12,1923
01/01/1924,1,1,1924
02/01/1924,2,1,1924
03/01/1924,3,1,1924
04/01/1924,4,1,1924
05/01/1924,5,1,1924
06/01/1924,6,1,1924
07/01/1924,7,1,1924
08/01/1924,8,1,1924
09/01/1924,9,1,1924
10/01/1924,10,1,1924
11/01/1924,11,1,1924
12/01/1924,12,1,1924
13/01/1924,13,1,1924
14/01/1924,14,1,1924
15/01/1924,15,1,1924
16/01/1924,16,1,1924
17/01/1924,17,1,1924
18/01/1924,18,1,1924
19/01/1924,19,1,1924
20/01/1924,20,1,1924
21/01/1924,21,1,1924
22/01/1924,22,1,1924
23/01/1924,23,1,1924
24/01/1924,24,1,1924
25/01/1924,25,1,1924
26/01/1924,26,1,1924
27/01/1924,27,1,1924
28/01/1924,28,1,1924
29/01/1924,29,1,1924
30/01/1924,30,1,1924
31/01/1924,31,1,1924
01/02/1924,1,2,1924
02/02/1924,2,2,1924
03/02/1924,3,2,1924
04/02/1924,4,2,1924
05/02/1924,5,2,1924
06/02/1924,6,2,1924
07/02/1924,7,2,1924
08/02/1924,8,2,1924
09/02/1924,9,2,1924
10/02/1924,10,2,1924
11/02/1924,11,2,1924
12/02/1924,12,2,1924
13/02/1924,13,2,1924
14/02/1924,14,2,1924
15/02/1924,15,2,1924
16/02/1924,16,2,1924
17/02/1924,17,2,1924
18/02/1924,18,2,1924
19/02/1924,19,2,1924
20/02/1924,20,2,1924
21/02/1924,21,2,1924
22/02/1924,22,2,1924
23/02/1924,23,2,1924
24/02/1924,24,2,1924
25/02/1924,25,2,1924
26/02/1924,26,2,1924
27/02/1924,27,2,1924
28/02/1924,28,2,1924
29/02/1924,29,2,1924
01/03/1924,1,3,1924
02/03/1924,2,3,1924
03/03/1924,3,3,1924
04/03/1924,4,3,1924
05/03/1924,5,3,1924
06/03/1924,6,3,1924
07/03/1924,7,3,1924
08/03/1924,8,3,1924
09/03/1924,9,3,1924
10/03/1924,10,3,1924
11/03/1924,11,3,1924
12/03/1924,12,3,1924
13/03/1924,13,3,1924
14/03/1924,14,3,1924
15/03/1924,15,3,1924
16/03/1924,16,3,1924
17/03/1924,17,3,1924
18/03/1924,18,3,1924
19/03/1924,19,3,1924
20/03/1924,20,3,1924
21/03/1924,21,3,1924
22/03/1924,22,3,1924
23/03/1924,23,3,1924
24/03/1924,24,3,1924
25/03/1924,25,3,1924
26/03/1924,26,3,1924
27/03/1924,27,3,1924
28/03/1924,28,3,1924
29/03/1924,29,3,1924
30/03/1924,30,3,1924
31/03/1924,31,3,1924
01/04/1924,1,4,1924
02/04/1924,2,4,1924
03/04/1924,3,4,1924
04/04/1924,4,4,1924
05/04/1924,5,4,1924
06/04/1924,6,4,1924
07/04/1924,7,4,1924
08/04/1924,8,4,1924
09/04/1924,9,4,1924
10/04/1924,10,4,1924
